,APINO,60_Interpol_OIL,90_Interpol_OIL,180_Interpol_OIL,365_Interpol_OIL,730_Interpol_OIL,60_Interpol_GAS,90_Interpol_GAS,180_Interpol_GAS,365_Interpol_GAS,730_Interpol_GAS,60_Interpol_WATER,90_Interpol_WATER,180_Interpol_WATER,365_Interpol_WATER,730_Interpol_WATER
328,49009286410000,0,0,0,0,21517,0,0,0,0,173822,0,0,0,0,21667
329,49009286420000,0,0,0,33413,81075,0,0,0,7364,27829,0,0,0,28883,59002
330,49009286430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,49009286440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,49009286540000,0,0,0,0,6613,0,0,0,0,7326,0,0,0,0,693
333,49009286610000,0,0,0,0,24676,0,0,0,0,28850,0,0,0,0,5615
334,49009286620000,0,0,0,0,59453,0,0,0,0,13717,0,0,0,0,14552
335,49009286740000,0,0,0,0,21205,0,0,0,0,23329,0,0,0,0,12287
336,49009286770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,49009286780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,49009286790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,49009286820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,49009286830000,0,0,0,0,36431,0,0,0,0,38708,0,0,0,0,16853
341,49009286860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,49009287050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,49009287060000,0,0,28723,51120,55883,0,0,198936,376448,446324,0,0,21467,60684,69795
344,49009287070000,0,0,0,0,11908,0,0,0,0,7680,0,0,0,0,11240
345,49009287090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,49009287110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,49009287150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,49009287310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,49009287430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,49009287440000,0,0,0,0,59038,0,0,0,0,5832,0,0,0,0,5200
351,49009287610000,0,0,0,0,4060,0,0,0,0,881,0,0,0,0,3123
352,49009287630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,49009287670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,49009287720000,0,0,29794,53204,62871,0,0,105574,205082,264795,0,0,37657,59581,61886
355,49009287800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,49009287940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,49009287990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,49009288010000,0,0,36361,70986,101257,0,0,117904,274197,392738,0,0,44640,51996,54772
359,49009288080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,49009288100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,49009288170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,49009288240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,49009288280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,49009288290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,49009288390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,49009288400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,49009288410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,49009288420000,0,0,28158,59578,74676,0,0,173170,404775,551311,0,0,32796,75138,87468
369,49009288470000,0,0,0,33203,60568,0,0,0,16610,39841,0,0,0,10939,18229
370,49009288480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,49009288510000,19416,24717,36503,51160,62615,89625,118272,193725,288219,354389,19478,21367,23805,26237,28146
372,49009288530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,49009288560000,0,0,27879,56150,66425,0,0,189347,412911,548933,0,0,27590,85608,99900
374,49009288570000,12288,18433,36866,74757,149514,19651,29476,58953,119544,239088,20648,30973,61946,125614,251228
375,49009288710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,49009288720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,49009288730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,49009288740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,49009288750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
